date,latency
5/28/24,151.205
5/29/24,167.374
5/30/24,164.232
5/31/24,180.982
6/01/24,168.446
6/02/24,173.123
6/03/24,165.937
6/05/24,170.128
6/06/24,169.092
6/07/24,180.898
6/08/24,278.237
6/09/24,261.163
6/10/24,268.446
