date,latency
5/28/24,211.306
5/29/24,208.475
5/30/24,205.333
5/31/24,201.983
6/01/24,209.547
6/02/24,204.224
6/03/24,206.938
6/05/24,200.229
6/06/24,209.193
6/07/24,258.999
6/08/24,209.338
6/09/24,202.264
6/10/24,210.111
