tps,latency,quantile
999.2477123037721,82.44956636798689,p50
999.2477123037721,85.69653758891161,p90
999.2477123037721,87.45306306234757,p95
999.2477123037721,90.35896496151886,p99
2001.8147569101668,80.95052984672425,p50
2001.8147569101668,83.9725123195058,p90
2001.8147569101668,85.33530109831065,p95
2001.8147569101668,98.02514801856002,p99
3000.4344697113183,87.64263969518684,p50
3000.4344697113183,93.5596776704557,p90
3000.4344697113183,94.84849146050853,p95
3000.4344697113183,97.73908141801057,p99
4001.059362927166,90.29093224895647,p50
4001.059362927166,97.19244081774131,p90
4001.059362927166,98.60336589512453,p95
4001.059362927166,101.61780278525255,p99
5001.850925502601,82.55385195039584,p50
5001.850925502601,90.2519357673538,p90
5001.850925502601,91.68711284234344,p95
5001.850925502601,94.61102596343119,p99
6000.638236758901,85.11323694290165,p50
6000.638236758901,99.1976950071463,p90
6000.638236758901,101.07012188946831,p95
6000.638236758901,110.06227332162841,p99
7001.215580193402,89.02779537284559,p50
7001.215580193402,92.81608386099006,p90
7001.215580193402,94.80729089268122,p95
7001.215580193402,108.4849590832697,p99
7997.8681297762405,190.99079814039072,p50
7997.8681297762405,219.0246580781906,p90
7997.8681297762405,224.3592508285301,p95
7997.8681297762405,245.28675631123508,p99
9001.437534043902,201.90424730855523,p50
9001.437534043902,220.46194980401023,p90
9001.437534043902,224.8722922776817,p95
9001.437534043902,233.63023645809486,p99
10002.516008696215,190.9316573461166,p50
10002.516008696215,201.33819430264035,p90
10002.516008696215,206.00896192753314,p95
10002.516008696215,216.85926942613324,p99
11000.286432189676,194.25536025977908,p50
11000.286432189676,205.0366294586291,p90
11000.286432189676,210.17448912419934,p95
11000.286432189676,240.2923940677283,p99
11995.924831226772,196.08918149239733,p50
11995.924831226772,206.23215447450548,p90
11995.924831226772,211.34744225356246,p95
11995.924831226772,220.6711223882118,p99
12997.7510420766,192.21107894976532,p50
12997.7510420766,210.16185732017334,p90
12997.7510420766,214.84769297149728,p95
12997.7510420766,226.62722849109107,p99
13998.71176014045,218.04770269799712,p50
13998.71176014045,229.65808682345983,p90
13998.71176014045,234.36532574884617,p95
13998.71176014045,245.11200926886178,p99
14998.11729059803,199.73706609829605,p50
14998.11729059803,210.1105742749485,p90
14998.11729059803,215.37971264909567,p95
14998.11729059803,225.26958072264165,p99
16000.181399812196,186.77726394908402,p50
16000.181399812196,208.29491819967674,p90
16000.181399812196,215.18985383259934,p95
16000.181399812196,241.73779415380784,p99
16998.93332908556,201.83509521459882,p50
16998.93332908556,212.65466326706988,p90
16998.93332908556,217.68010168993473,p95
16998.93332908556,248.02519544338915,p99
17997.855451379215,262.3831613478882,p50
17997.855451379215,292.61019738270716,p90
17997.855451379215,296.42091738495776,p95
17997.855451379215,336.6063668813844,p99
18997.6513088054,637.6453341318347,p50
18997.6513088054,716.5331968065581,p90
18997.6513088054,732.5140855349189,p95
18997.6513088054,796.0808997562838,p99
19999.30013542385,708.9995398905218,p50
19999.30013542385,741.0094525779049,p90
19999.30013542385,757.3019841083833,p95
19999.30013542385,784.6763262684689,p99
21000.30645040681,846.2568332113226,p50
21000.30645040681,889.2331761898917,p90
21000.30645040681,907.6755582447471,p95
21000.30645040681,949.7582850158377,p99
21999.373763529973,854.8401739356419,p50
21999.373763529973,892.7335225683101,p90
21999.373763529973,913.0769183716238,p95
21999.373763529973,1043.1102366533594,p99
23003.489393272856,906.1206633998027,p50
23003.489393272856,1007.9121127686615,p90
23003.489393272856,1019.0090390396165,p95
23003.489393272856,1153.5537232637441,p99
